"";"CityName";"CountryCode";"long";"lat"
"1";"Athens";"GR";"23.7279843";"37.9841493"
"2";"Barcelona";"ES";"2.1771353";"41.3825596"
"3";"Brussels";"BE";"4.36720169448285";"50.84404145"
"4";"Calais";"FR";"1.87468";"50.9488"
"5";"Cherbourg";"FR";"-1.6251338";"49.6369557"
"6";"Cologne";"DE";"6.85620410042877";"50.97864255"
"7";"Copenhagen";"DK";"12.5700724";"55.6867243"
"8";"Geneva";"CH";"6.1466014";"46.2017559"
"9";"Gibraltar";"GI";"-5.3484848";"36.1451465"
"10";"Hamburg";"DE";"10.000654";"53.5503414"
"11";"Hook of Holland";"NL";"4.1314526";"51.9771615"
"12";"Lisbon";"PT";"-9.1380056";"38.7130574"
"13";"Lyons";"FR";"1.4768451";"49.3990435"
"14";"Madrid";"ES";"-3.7035825";"40.4167047"
"15";"Marseilles";"FR";"5.3699525";"43.2961743"
"16";"Milan";"IT";"9.1905368";"45.466797"
"17";"Munich";"DE";"11.5563033948655";"48.14068435"
"18";"Paris";"FR";"2.3521334";"48.8565056"
"19";"Rome";"IT";"12.4830718";"41.8933439"
"20";"Stockholm";"SE";"18.0710935";"59.3251172"
"21";"Vienna";"AT";"16.3725042";"48.2083537"
